County,Primary Cities,2024 Population,Active Listings,4COP Active,3PS Active,Disclosed Asking Prices,Median Asking Price,Lowest Asking Price,Highest Asking Price,4COP Median Ask,3PS Median Ask,2026 New Quota Licenses,Snapshot Generated At
Alachua County,Gainesville,291782,2,2,0,2,297000,279000,315000,297000,,1,2026-08-28T18:36:46.067Z
Baker County,Macclenny | Glen St. Mary,29325,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Bay County,Panama City | Panama City Beach,199718,4,4,0,4,560000,505000,615000,560000,,0,2026-08-28T18:36:46.067Z
Bradford County,Starke | Lawtey,28075,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Brevard County,Melbourne | Cocoa Beach | Titusville,658447,4,4,0,3,430000,425000,450000,430000,,3,2026-08-28T18:36:46.067Z
Broward County,Fort Lauderdale | Hollywood | Pompano Beach,2037472,12,12,0,12,225000,215000,385000,225000,,4,2026-08-28T18:36:46.067Z
Calhoun County,Blountstown | Altha,13278,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Charlotte County,Punta Gorda | Port Charlotte,212122,2,2,0,2,425000,425000,425000,425000,,2,2026-08-28T18:36:46.067Z
Citrus County,Crystal River | Inverness,170174,1,1,0,1,295000,295000,295000,295000,,0,2026-08-28T18:36:46.067Z
Clay County,Orange Park | Green Cove Springs,236760,1,1,0,1,250000,250000,250000,250000,,0,2026-08-28T18:36:46.067Z
Collier County,Naples | Marco Island,416233,6,6,0,6,497500,445000,550000,497500,,1,2026-08-28T18:36:46.067Z
Columbia County,Lake City | Fort White,73977,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
DeSoto County,Arcadia,36744,4,4,0,4,99500,80000,110000,99500,,0,2026-08-28T18:36:46.067Z
Dixie County,Cross City | Horseshoe Beach,17614,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Duval County,Jacksonville,1055159,11,10,1,10,710000,635000,850000,710000,,3,2026-08-28T18:36:46.067Z
Escambia County,Pensacola,331275,5,5,0,5,525000,395000,575000,525000,,0,2026-08-28T18:36:46.067Z
Flagler County,Palm Coast | Flagler Beach | Bunnell,136744,0,0,0,0,,,,,,1,2026-08-28T18:36:46.067Z
Franklin County,Apalachicola | Carrabelle | Eastpoint,12979,0,0,0,0,,,,,,1,2026-08-28T18:36:46.067Z
Gadsden County,Quincy | Midway | Havana,44151,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Gilchrist County,Trenton | Bell,20233,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Glades County,Moore Haven,13132,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Gulf County,Port St. Joe | Wewahitchka,15876,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Hamilton County,Jasper | Jennings | White Springs,14334,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Hardee County,Wauchula | Bowling Green | Zolfo Springs,26068,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Hendry County,Clewiston | LaBelle,46130,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Hernando County,Brooksville | Spring Hill,218150,1,1,0,1,380000,380000,380000,380000,,0,2026-08-28T18:36:46.067Z
Highlands County,Sebring | Avon Park | Lake Placid,109778,1,1,0,1,149000,149000,149000,149000,,0,2026-08-28T18:36:46.067Z
Hillsborough County,Tampa | Temple Terrace | Plant City,1581426,7,7,0,7,225000,210000,250000,225000,,3,2026-08-28T18:36:46.067Z
Holmes County,Bonifay | Ponce de Leon,19876,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Indian River County,Vero Beach | Sebastian,172139,3,3,0,3,565000,540000,565000,565000,,0,2026-08-28T18:36:46.067Z
Jackson County,Marianna | Graceville,49980,0,0,0,0,,,,,,1,2026-08-28T18:36:46.067Z
Jefferson County,Monticello,15921,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Lafayette County,Mayo,8640,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Lake County,Clermont | Leesburg | Mount Dora | Tavares,444204,6,5,1,5,275000,200000,350000,275000,,3,2026-08-28T18:36:46.067Z
Lee County,Fort Myers | Cape Coral | Bonita Springs,860959,4,4,0,3,410000,300000,410000,410000,,2,2026-08-28T18:36:46.067Z
Leon County,Tallahassee,300488,3,3,0,3,850000,850000,950000,850000,,1,2026-08-28T18:36:46.067Z
Levy County,Williston | Chiefland | Cedar Key,47765,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Liberty County,Bristol,7955,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Madison County,Madison | Lee | Greenville,18364,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Manatee County,Bradenton | Palmetto,458352,5,4,1,5,545000,445000,600000,547500,445000,2,2026-08-28T18:36:46.067Z
Marion County,Ocala,428905,4,4,0,4,261500,235000,290000,261500,,2,2026-08-28T18:36:46.067Z
Martin County,Stuart | Jensen Beach,165666,2,2,0,2,612500,600000,625000,612500,,0,2026-08-28T18:36:46.067Z
Miami-Dade County,Miami | Miami Beach | Doral,2838461,19,18,1,18,212500,185000,495000,210000,250000,5,2026-08-28T18:36:46.067Z
Monroe County,Key West | Marathon | Islamorada,80908,2,2,0,2,1250000,1200000,1300000,1250000,,0,2026-08-28T18:36:46.067Z
Nassau County,Fernandina Beach | Yulee | Callahan,104376,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Okaloosa County,Destin | Fort Walton Beach,220483,2,2,0,2,440000,330000,550000,440000,,1,2026-08-28T18:36:46.067Z
Okeechobee County,Okeechobee,42369,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Orange County,Orlando | Winter Park,1533646,15,15,0,14,544500,435000,655000,544500,,3,2026-08-28T18:36:46.067Z
Osceola County,Kissimmee | St. Cloud,468058,7,7,0,5,415000,380000,445000,415000,,4,2026-08-28T18:36:46.067Z
Palm Beach County,West Palm Beach | Boca Raton | Delray Beach,1582055,10,10,0,10,222500,200000,770000,222500,,2,2026-08-28T18:36:46.067Z
Pasco County,New Port Richey | Wesley Chapel | Land O' Lakes | Dade City | Zephyrhills,659114,8,7,1,8,320000,290000,325000,315000,325000,2,2026-08-28T18:36:46.067Z
